64 137142857467.428574
104 144516128951.329041
152 148837209673.227905
200 151272727591.563629
256 153043478317.356506
304 154074074750.814819
352 154838710152.258057
400 155428571893.942871
456 155966386464.161346
504 156335877775.047333
552 156643357213.896484
600 156903225712.309692
656 157159763632.056824
704 157348066977.379028
752 157512953887.767883
800 157658536695.570740
856 157808219080.241089
904 157922078076.342834
952 158024691266.370361
1000 158117647373.552948
1056 158215613697.570251
1104 158291815264.409973
1152 158361775419.653259
1200 158426230027.540985
1256 158495298126.485291
1304 158549848841.126282
1352 158600583250.770844
1400 158647887276.349274
1456 158699187251.460144
1518 158959688380.887390
