64 40000000000.000000 137142857467.428574
104 40000000000.000000 144516128951.329041
152 39875000000.000000 148372093337.600006
200 39312500000.000000 148672727403.498199
256 38812500000.000000 148500000609.549988
304 38562500000.000000 148537037035.412964
352 38375000000.000000 148548387484.467743
400 38250000000.000000 148628571492.502869
456 38125000000.000000 148655462287.710938
504 38000000000.000000 148519083962.430511
552 37937500000.000000 148566433509.723785
600 37875000000.000000 148567741895.130341
656 37812500000.000000 148565089353.183441
704 37750000000.000000 148497238165.759125
752 37750000000.000000 148652850273.524353
800 37687500000.000000 148543902565.783417
856 37625000000.000000 148438356057.961639
904 37625000000.000000 148545455053.800018
952 37562500000.000000 148395061633.827179
1000 37562500000.000000 148482353492.452911
1056 37500000000.000000 148327137422.466919
1104 37562500000.000000 148645907669.037537
1152 37500000000.000000 148464164053.316040
1200 37500000000.000000 148524590644.249146
1256 37500000000.000000 148589341783.077118
1304 37500000000.000000 148640483288.555878
1352 37437500000.000000 148440233299.821869
1400 37437500000.000000 148484506945.775757
1456 37437500000.000000 148532520612.084137
1518 37375000000.000000 148527958599.241089
